Date : 2022-07-28 09:22:06
Directory : /Users/timothymalcham/dev/DINO-MERCS/src
Total : 175 files,  22271 codes, 573 comments, 1568 blanks, all 24412 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/operationCards.ts                           | TypeScript       |         63 |          0 |         14 |         77 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/starterDeck.ts                              | TypeScript       |         11 |          0 |          5 |         16 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/GameContainer.tsx                                | TypeScript React |          4 |          0 |          2 |          6 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/GameModeModal.tsx                                | TypeScript React |        162 |          0 |          9 |        171 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/SoundEffects.tsx                                 | TypeScript React |         91 |          0 |          8 |         99 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/BaseScreen.tsx                           | TypeScript React |        119 |         12 |          6 |        137 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/CharacterSelectionScreen.tsx             | TypeScript React |        184 |          0 |         12 |        196 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/GameOverScreen.tsx                       | TypeScript React |        135 |          0 |         15 |        150 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/IntroScreen.tsx                          | TypeScript React |        150 |          0 |          7 |        157 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/StartScreen.tsx                          | TypeScript React |         80 |          0 |         10 |         90 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/Tutorial.tsx                             | TypeScript React |        346 |          1 |         13 |        360 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/AsyncBaseDefenseBoundary.tsx | TypeScript React |          8 |          0 |          4 |         12 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseCardOverlay.tsx   | TypeScript React |        163 |          0 |         18 |        181 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseContent.tsx       | TypeScript React |          4 |          0 |          2 |          6 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseFooter.tsx        | TypeScript React |        206 |          1 |         14 |        221 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseHeader.tsx        | TypeScript React |         84 |          0 |          7 |         91 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseIntroScreen.tsx   | TypeScript React |        141 |          0 |         10 |        151 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseLoadingScreen.tsx | TypeScript React |        200 |          0 |         27 |        227 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseMain.tsx          | TypeScript React |         67 |          0 |         10 |         77 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseMiddleContent.tsx | TypeScript React |        132 |          0 |         18 |        150 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseRewardsScreen.tsx | TypeScript React |        221 |          0 |         15 |        236 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/baseDefense/BaseDefenseScreen.tsx        | TypeScript React |         17 |          0 |          4 |         21 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/AsyncCombatBoundary.tsx           | TypeScript React |          8 |          0 |          4 |         12 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatFooter.tsx                  | TypeScript React |        218 |          1 |         15 |        234 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatIntroScreen.tsx             | TypeScript React |        145 |          0 |         10 |        155 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatLoadingScreen.tsx           | TypeScript React |         46 |          0 |          6 |         52 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatMain.tsx                    | TypeScript React |          4 |          0 |          2 |          6 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatMiddleContent.tsx           | TypeScript React |        153 |          0 |         20 |        173 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatRewardsScreen.tsx           | TypeScript React |        210 |          0 |         14 |        224 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatScreen.tsx                  | TypeScript React |         70 |          0 |          8 |         78 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/CombatScreenHeader.tsx            | TypeScript React |         78 |          0 |          7 |         85 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/combat/DeathMessageOverlay.tsx           | TypeScript React |         14 |          0 |          5 |         19 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/missionCompleteScreen.tsx                | TypeScript React |        141 |          0 |         15 |        156 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/AsyncOperationBoundary.tsx     | TypeScript React |          8 |          0 |          4 |         12 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/Main.tsx                       | TypeScript React |          4 |          0 |          2 |          6 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/OperationFooter.tsx            | TypeScript React |        183 |          1 |         16 |        200 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/OperationIntroScreen.tsx       | TypeScript React |        198 |          0 |          9 |        207 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/OperationMiddleContent.tsx     | TypeScript React |        247 |          0 |         28 |        275 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/OperationRewardsScreen.tsx     | TypeScript React |        178 |          0 |         11 |        189 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/OperationScreen.tsx            | TypeScript React |         45 |          1 |          6 |         52 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/screens/operation/OperationScreenHeader.tsx      | TypeScript React |         77 |          0 |          7 |         84 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/AnimatedList.tsx                          | TypeScript React |        157 |          0 |          9 |        166 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Avatar.tsx                                | TypeScript React |         76 |          0 |          5 |         81 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Barks.tsx                                 | TypeScript React |         92 |          0 |          9 |        101 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Button.tsx                                | TypeScript React |         68 |          0 |          6 |         74 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Card.tsx                                  | TypeScript React |        496 |          3 |         28 |        527 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/ConfirmationModal.tsx                     | TypeScript React |        104 |          0 |          5 |        109 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/DeckModal.tsx                             | TypeScript React |        111 |          0 |          7 |        118 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/ErrorBoundary.tsx                         | TypeScript React |         25 |          1 |          9 |         35 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/EventModal.tsx                            | TypeScript React |         96 |          0 |          9 |        105 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/FetchModal.tsx                            | TypeScript React |        129 |          0 |          9 |        138 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/GameSavedMessage.tsx                      | TypeScript React |         51 |          0 |          7 |         58 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Hand.tsx                                  | TypeScript React |        212 |          1 |         11 |        224 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Img.tsx                                   | TypeScript React |         47 |          0 |          3 |         50 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/LazyImg.tsx                               | TypeScript React |         46 |          0 |          4 |         50 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/LazyVideo.tsx                             | TypeScript React |         18 |          3 |          2 |         23 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/MenuModal.tsx                             | TypeScript React |        190 |          0 |         12 |        202 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/ScreenHeader.tsx                          | TypeScript React |         86 |          1 |          7 |         94 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/SoundTrack.tsx                            | TypeScript React |         89 |          4 |         16 |        109 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Tooltip.tsx                               | TypeScript React |        108 |          0 |         11 |        119 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/Typer.tsx                                 | TypeScript React |         26 |          0 |          3 |         29 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/VideoBackground.tsx                       | TypeScript React |         15 |          1 |          4 |         20 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/styled/BaseDefenseScreenBackground.tsx    | TypeScript React |         25 |          0 |          3 |         28 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/styled/CombatScreenBackground.tsx         | TypeScript React |         25 |          0 |          3 |         28 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/styled/ControlButton.tsx                  | TypeScript React |         18 |          0 |          3 |         21 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/styled/OperationScreenBackground.tsx      | TypeScript React |         61 |          0 |          5 |         66 |
| /Users/timothymalcham/dev/DINO-MERCS/src/components/shared/styled/StyledStatBars.tsx                 | TypeScript React |        249 |          0 |         13 |        262 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/constants.ts                                    | TypeScript       |        528 |          7 |         24 |        559 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/context.tsx                                     | TypeScript React |         38 |          4 |         10 |         52 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/gameData.ts                                     | TypeScript       |          9 |          0 |          5 |         14 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/guards.ts                                       | TypeScript       |         16 |          0 |         11 |         27 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/initialContext.ts                               | TypeScript       |        126 |          0 |          3 |        129 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/machine.tsx                                     | TypeScript React |      1,311 |          0 |         14 |      1,325 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/model.ts                                        | TypeScript       |      1,946 |         29 |        144 |      2,119 |
| /Users/timothymalcham/dev/DINO-MERCS/src/engine/game/selectors.ts                                    | TypeScript       |         76 |          6 |         10 |         92 |
| /Users/timothymalcham/dev/DINO-MERCS/src/global.d.ts                                                 | TypeScript       |          8 |          1 |          2 |         11 |
| /Users/timothymalcham/dev/DINO-MERCS/src/main.tsx                                                    | TypeScript React |         49 |          0 |          6 |         55 |
| /Users/timothymalcham/dev/DINO-MERCS/src/seeds/index.ts                                              | TypeScript       |          3 |          0 |          2 |          5 |
| /Users/timothymalcham/dev/DINO-MERCS/src/seeds/seed_02.ts                                            | TypeScript       |        122 |          0 |          2 |        124 |
| /Users/timothymalcham/dev/DINO-MERCS/src/seeds/seed_support.ts                                       | TypeScript       |        120 |          0 |          2 |        122 |
| /Users/timothymalcham/dev/DINO-MERCS/src/types.ts                                                    | TypeScript       |        429 |         13 |         52 |        494 |
| /Users/timothymalcham/dev/DINO-MERCS/src/utils/colors.ts                                             | TypeScript       |         19 |          4 |          4 |         27 |
| /Users/timothymalcham/dev/DINO-MERCS/src/utils/constants.ts                                          | TypeScript       |        353 |          1 |          9 |        363 |
| /Users/timothymalcham/dev/DINO-MERCS/src/utils/enemies.ts                                            | TypeScript       |        761 |          3 |         12 |        776 |
| /Users/timothymalcham/dev/DINO-MERCS/src/utils/helpers.ts                                            | TypeScript       |        772 |         50 |        124 |        946 |
| /Users/timothymalcham/dev/DINO-MERCS/src/utils/maps/imageMaps/cards.ts                               | TypeScript       |         95 |          8 |          8 |        111 |
| /Users/timothymalcham/dev/DINO-MERCS/src/utils/ui.ts                                                 | TypeScript       |         23 |          0 |          7 |         30 |
| /Users/timothymalcham/dev/DINO-MERCS/src/vite-env.d.ts                                               | TypeScript       |          0 |          1 |          1 |          2 |
| Total                                                                                                |                  |     22,271 |        573 |      1,568 |     24,412 |
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
